Wochentag;Datum;Tag;Monat;Jahr;Anzahl
Mi;01.11.2017;1;11;2017;
Do;02.11.2017;2;11;2017;
Fr;03.11.2017;3;11;2017;
Sa;04.11.2017;4;11;2017;
So;05.11.2017;5;11;2017;
Mo;06.11.2017;6;11;2017;
Di;07.11.2017;7;11;2017;
Mi;08.11.2017;8;11;2017;
Do;09.11.2017;9;11;2017;
Fr;10.11.2017;10;11;2017;9
Sa;11.11.2017;11;11;2017;5
So;12.11.2017;12;11;2017;0
Mo;13.11.2017;13;11;2017;8
Di;14.11.2017;14;11;2017;12
Mi;15.11.2017;15;11;2017;6
Do;16.11.2017;16;11;2017;9
Fr;17.11.2017;17;11;2017;16
Sa;18.11.2017;18;11;2017;0
So;19.11.2017;19;11;2017;3
Mo;20.11.2017;20;11;2017;10
Di;21.11.2017;21;11;2017;14
Mi;22.11.2017;22;11;2017;13
Do;23.11.2017;23;11;2017;10
Fr;24.11.2017;24;11;2017;8
Sa;25.11.2017;25;11;2017;4
So;26.11.2017;26;11;2017;0
Mo;27.11.2017;27;11;2017;6
Di;28.11.2017;28;11;2017;4
Mi;29.11.2017;29;11;2017;7
Do;30.11.2017;30;11;2017;8
Fr;01.12.2017;1;12;2017;12
Sa;02.12.2017;2;12;2017;0
So;03.12.2017;3;12;2017;0
Mo;04.12.2017;4;12;2017;7
Di;05.12.2017;5;12;2017;6
Mi;06.12.2017;6;12;2017;9
Do;07.12.2017;7;12;2017;5
Fr;08.12.2017;8;12;2017;5
Sa;09.12.2017;9;12;2017;0
So;10.12.2017;10;12;2017;0
Mo;11.12.2017;11;12;2017;6
Di;12.12.2017;12;12;2017;7
Mi;13.12.2017;13;12;2017;7
Do;14.12.2017;14;12;2017;3
Fr;15.12.2017;15;12;2017;7
Sa;16.12.2017;16;12;2017;0
So;17.12.2017;17;12;2017;0
Mo;18.12.2017;18;12;2017;6
Di;19.12.2017;19;12;2017;6
Mi;20.12.2017;20;12;2017;4
Do;21.12.2017;21;12;2017;7
Fr;22.12.2017;22;12;2017;6
Sa;23.12.2017;23;12;2017;0
So;24.12.2017;24;12;2017;0
Mo;25.12.2017;25;12;2017;0
Di;26.12.2017;26;12;2017;0
Mi;27.12.2017;27;12;2017;0
Do;28.12.2017;28;12;2017;0
Fr;29.12.2017;29;12;2017;0
Sa;30.12.2017;30;12;2017;0
So;31.12.2017;31;12;2017;0
Mo;01.01.2018;1;1;2018;0
Di;02.01.2018;2;1;2018;4
Mi;03.01.2018;3;1;2018;8
Do;04.01.2018;4;1;2018;11
Fr;05.01.2018;5;1;2018;7
Sa;06.01.2018;6;1;2018;0
So;07.01.2018;7;1;2018;0
Mo;08.01.2018;8;1;2018;11
Di;09.01.2018;9;1;2018;9
Mi;10.01.2018;10;1;2018;11
Do;11.01.2018;11;1;2018;4
Fr;12.01.2018;12;1;2018;4
Sa;13.01.2018;13;1;2018;0
So;14.01.2018;14;1;2018;0
Mo;15.01.2018;15;1;2018;10
Di;16.01.2018;16;1;2018;13
Mi;17.01.2018;17;1;2018;6
Do;18.01.2018;18;1;2018;13
Fr;19.01.2018;19;1;2018;10
Sa;20.01.2018;20;1;2018;0
So;21.01.2018;21;1;2018;0
Mo;22.01.2018;22;1;2018;13
Di;23.01.2018;23;1;2018;14
Mi;24.01.2018;24;1;2018;12
Do;25.01.2018;25;1;2018;10
Fr;26.01.2018;26;1;2018;8
Sa;27.01.2018;27;1;2018;0
So;28.01.2018;28;1;2018;0
Mo;29.01.2018;29;1;2018;7
Di;30.01.2018;30;1;2018;17
Mi;31.01.2018;31;1;2018;16
Do;01.02.2018;1;2;2018;8
Fr;02.02.2018;2;2;2018;9
Sa;03.02.2018;3;2;2018;1
So;04.02.2018;4;2;2018;0
Mo;05.02.2018;5;2;2018;15
Di;06.02.2018;6;2;2018;6
Mi;07.02.2018;7;2;2018;16
Do;08.02.2018;8;2;2018;14
Fr;09.02.2018;9;2;2018;14
Sa;10.02.2018;10;2;2018;0
So;11.02.2018;11;2;2018;3
Mo;12.02.2018;12;2;2018;10
Di;13.02.2018;13;2;2018;10
Mi;14.02.2018;14;2;2018;7
Do;15.02.2018;15;2;2018;8
Fr;16.02.2018;16;2;2018;4
Sa;17.02.2018;17;2;2018;2
So;18.02.2018;18;2;2018;0
Mo;19.02.2018;19;2;2018;6
Di;20.02.2018;20;2;2018;5
Mi;21.02.2018;21;2;2018;7
Do;22.02.2018;22;2;2018;7
Fr;23.02.2018;23;2;2018;5
Sa;24.02.2018;24;2;2018;0
So;25.02.2018;25;2;2018;0
Mo;26.02.2018;26;2;2018;9
Di;27.02.2018;27;2;2018;9
Mi;28.02.2018;28;2;2018;7
Do;01.03.2018;1;3;2018;6
Fr;02.03.2018;2;3;2018;5
Sa;03.03.2018;3;3;2018;0
So;04.03.2018;4;3;2018;0
Mo;05.03.2018;5;3;2018;10
Di;06.03.2018;6;3;2018;8
Mi;07.03.2018;7;3;2018;10
Do;08.03.2018;8;3;2018;5
Fr;09.03.2018;9;3;2018;16
Sa;10.03.2018;10;3;2018;0
So;11.03.2018;11;3;2018;0
Mo;12.03.2018;12;3;2018;13
Di;13.03.2018;13;3;2018;7
Mi;14.03.2018;14;3;2018;10
Do;15.03.2018;15;3;2018;8
Fr;16.03.2018;16;3;2018;8
Sa;17.03.2018;17;3;2018;0
So;18.03.2018;18;3;2018;0
Mo;19.03.2018;19;3;2018;8
Di;20.03.2018;20;3;2018;4
Mi;21.03.2018;21;3;2018;6
Do;22.03.2018;22;3;2018;9
Fr;23.03.2018;23;3;2018;9
Sa;24.03.2018;24;3;2018;0
So;25.03.2018;25;3;2018;0
Mo;26.03.2018;26;3;2018;8
Di;27.03.2018;27;3;2018;12
Mi;28.03.2018;28;3;2018;7
Do;29.03.2018;29;3;2018;7
Fr;30.03.2018;30;3;2018;0
Sa;31.03.2018;31;3;2018;0
So;01.04.2018;1;4;2018;0
Mo;02.04.2018;2;4;2018;0
Di;03.04.2018;3;4;2018;9
Mi;04.04.2018;4;4;2018;6
Do;05.04.2018;5;4;2018;15
Fr;06.04.2018;6;4;2018;6
Sa;07.04.2018;7;4;2018;0
So;08.04.2018;8;4;2018;0
Mo;09.04.2018;9;4;2018;9
Di;10.04.2018;10;4;2018;11
Mi;11.04.2018;11;4;2018;9
Do;12.04.2018;12;4;2018;13
Fr;13.04.2018;13;4;2018;7
Sa;14.04.2018;14;4;2018;0
So;15.04.2018;15;4;2018;0
Mo;16.04.2018;16;4;2018;14
Di;17.04.2018;17;4;2018;12
Mi;18.04.2018;18;4;2018;13
Do;19.04.2018;19;4;2018;12
Fr;20.04.2018;20;4;2018;9
Sa;21.04.2018;21;4;2018;0
So;22.04.2018;22;4;2018;0
Mo;23.04.2018;23;4;2018;15
Di;24.04.2018;24;4;2018;11
Mi;25.04.2018;25;4;2018;11
Do;26.04.2018;26;4;2018;11
Fr;27.04.2018;27;4;2018;6
Sa;28.04.2018;28;4;2018;0
So;29.04.2018;29;4;2018;0
Mo;30.04.2018;30;4;2018;7
Di;01.05.2018;1;5;2018;0
Mi;02.05.2018;2;5;2018;12
Do;03.05.2018;3;5;2018;13
Fr;04.05.2018;4;5;2018;8
Sa;05.05.2018;5;5;2018;0
So;06.05.2018;6;5;2018;0
Mo;07.05.2018;7;5;2018;13
Di;08.05.2018;8;5;2018;14
Mi;09.05.2018;9;5;2018;14
Do;10.05.2018;10;5;2018;0
Fr;11.05.2018;11;5;2018;4
Sa;12.05.2018;12;5;2018;0
So;13.05.2018;13;5;2018;0
Mo;14.05.2018;14;5;2018;11
Di;15.05.2018;15;5;2018;12
Mi;16.05.2018;16;5;2018;9
Do;17.05.2018;17;5;2018;7
Fr;18.05.2018;18;5;2018;7
Sa;19.05.2018;19;5;2018;0
So;20.05.2018;20;5;2018;0
Mo;21.05.2018;21;5;2018;0
Di;22.05.2018;22;5;2018;4
Mi;23.05.2018;23;5;2018;8
Do;24.05.2018;24;5;2018;14
Fr;25.05.2018;25;5;2018;4
Sa;26.05.2018;26;5;2018;0
So;27.05.2018;27;5;2018;0
